变量,重要性,变量中文,重要性得分
DEM_Mean,0.00690686068227447,平均高程,6.906860682274471
降水,0.005919079321322094,降水,5.919079321322093
NDVI,0.005640429242956647,NDVI,5.640429242956647
rice_sown_area_yoy_change,0.004930684168379327,播种面积同比变化,4.930684168379328
EVI,0.004821756616686562,EVI,4.821756616686562
max_consecutive_precip_days,0.004593657402017989,最长连续降水日数,4.593657402017989
rice_sown_area_lag1,0.004226830588243603,前一年播种面积,4.226830588243603
辐射,0.004182708187885994,辐射,4.182708187885995
气温,0.00412715076761116,气温,4.12715076761116
rice_sown_area_yoy_rate,0.003849060153856951,播种面积同比变化率,3.8490601538569513
GPP,0.0037999899025917094,GPP,3.7999899025917094
类别特征,0.0036690472472686825,类别特征,3.6690472472686824
rice_sown_area_lag2,0.003459700546172513,前二年播种面积,3.459700546172513
rice_sown_area,0.003257019470910838,水稻播种面积,3.257019470910838
LST,0.003183047311749905,地表温度,3.183047311749905
drought_days,0.003100853981296283,干旱日数,3.100853981296283
tmax_mean_apr_oct,0.0030835567761109423,生长季最高气温均值,3.0835567761109424
precip_sum_apr_oct,0.0030091059469626942,生长季降水累计量,3.0091059469626944
DEM_Std,0.0029005519326810317,高程标准差,2.9005519326810316
rice_sown_area_rolling3_mean_prior,0.00284778537620439,近3年播种面积均值,2.84778537620439
rice_sown_area_lag3,0.0027760880744241326,前三年播种面积,2.7760880744241327
tmax_max_apr_oct,0.00235482129855369,生长季最高气温最大值,2.35482129855369
heading_grain_filling_heat_days,0.001159843958506619,抽穗灌浆期热害日数,1.159843958506619
glorice_rice_physical_area,0.0011206535049904506,GloRice水稻面积,1.1206535049904507
high_temp_days,0.0011051333114359143,高温日数,1.1051333114359143
early_rice_share,0.0010094475271867614,早稻占比,1.0094475271867613
middle_rice_share,0.000975737608946055,中稻占比,0.975737608946055
clay_0_30cm_pct,0.0007560213175739035,黏粒含量,0.7560213175739036
glorice_multiple_cropping_index,0.0007441965676063747,GloRice复种指数,0.7441965676063746
effective_irrigated_area,0.0006798266423024082,有效灌溉面积,0.6798266423024082
late_rice_share,0.000672287625599791,晚稻占比,0.6722876255997909
silt_0_30cm_pct,0.0004653941560237417,粉粒含量,0.46539415602374173
slope_mean,0.00045684198644061846,坡度,0.45684198644061846
glorice_grid_cell_count,0.0003813826126178061,glorice_grid_cell_count,0.3813826126178061
sand_0_30cm_pct,0.0003725886740493927,砂粒含量,0.3725886740493927
soil_organic_matter,0.00035517778731795793,土壤有机质,0.3551777873179579
